G,P,equilibrium
0.3333333333333333,0.7575757575757577,Implement / Accept
0.3333333333333333,0.7676767676767677,Implement / Accept
0.3333333333333333,0.7777777777777778,Implement / Accept
0.3333333333333333,0.787878787878788,Implement / Accept
0.3333333333333333,0.797979797979798,Implement / Accept
0.3333333333333333,0.8080808080808082,Implement / Accept
0.3333333333333333,0.8181818181818182,Implement / Accept
0.3333333333333333,0.8282828282828284,Implement / Accept
0.3333333333333333,0.8383838383838385,Implement / Accept
0.3333333333333333,0.8484848484848485,Implement / Accept
0.3333333333333333,0.8585858585858587,Implement / Accept
0.3333333333333333,0.8686868686868687,Implement / Accept
0.3333333333333333,0.8787878787878789,Implement / Accept
0.3333333333333333,0.888888888888889,Implement / Accept
0.3333333333333333,0.8989898989898991,Implement / Accept
0.3333333333333333,0.9090909090909092,Implement / Accept
0.3333333333333333,0.9191919191919192,Implement / Accept
0.3333333333333333,0.9292929292929294,Implement / Accept
0.3333333333333333,0.9393939393939394,Implement / Accept
0.3333333333333333,0.9494949494949496,Implement / Accept
0.3333333333333333,0.9595959595959597,Implement / Accept
0.3333333333333333,0.9696969696969697,Implement / Accept
0.3333333333333333,0.9797979797979799,Implement / Accept
0.3333333333333333,0.98989898989899,Implement / Accept
0.3333333333333333,1.0,Implement / Accept
0.4,0.0,Absence of Pure Equilibrium
0.4,0.010101010101010102,Absence of Pure Equilibrium
0.4,0.020202020202020204,Absence of Pure Equilibrium
0.4,0.030303030303030304,Implement / Fight
0.4,0.04040404040404041,Implement / Fight
0.4,0.05050505050505051,Implement / Fight
0.4,0.06060606060606061,Implement / Fight
0.4,0.07070707070707072,Implement / Fight
0.4,0.08080808080808081,Implement / Fight
0.4,0.09090909090909091,Implement / Fight
0.4,0.10101010101010102,Implement / Fight
0.4,0.11111111111111112,Implement / Fight
0.4,0.12121212121212122,Implement / Fight
0.4,0.13131313131313133,Implement / Fight
0.4,0.14141414141414144,Implement / Fight
0.4,0.15151515151515152,Implement / Fight
0.4,0.16161616161616163,Implement / Fight
0.4,0.17171717171717174,Implement / Fight
0.4,0.18181818181818182,Implement / Fight
0.4,0.19191919191919193,Implement / Fight
0.4,0.20202020202020204,Implement / Fight
0.4,0.21212121212121213,Implement / Fight
0.4,0.22222222222222224,Implement / Fight
0.4,0.23232323232323235,Implement / Fight
0.4,0.24242424242424243,Implement / Fight
0.4,0.25252525252525254,Implement / Fight
0.4,0.26262626262626265,Implement / Fight
0.4,0.27272727272727276,Implement / Fight
0.4,0.2828282828282829,Implement / Fight
0.4,0.29292929292929293,Implement / Fight
0.4,0.30303030303030304,Implement / Fight
0.4,0.31313131313131315,Implement / Fight
0.4,0.32323232323232326,Implement / Fight
0.4,0.33333333333333337,Implement / Fight
0.4,0.3434343434343435,Implement / Fight
0.4,0.3535353535353536,Implement / Accept
0.4,0.36363636363636365,Implement / Accept
0.4,0.37373737373737376,Implement / Accept
0.4,0.38383838383838387,Implement / Accept
0.4,0.393939393939394,Implement / Accept
0.4,0.4040404040404041,Implement / Accept
0.4,0.4141414141414142,Implement / Accept
0.4,0.42424242424242425,Implement / Accept
0.4,0.43434343434343436,Implement / Accept
0.4,0.4444444444444445,Implement / Accept
0.4,0.4545454545454546,Implement / Accept
0.4,0.4646464646464647,Implement / Accept
0.4,0.4747474747474748,Implement / Accept
0.4,0.48484848484848486,Implement / Accept
0.4,0.494949494949495,Implement / Accept
0.4,0.5050505050505051,Implement / Accept
0.4,0.5151515151515152,Implement / Accept
0.4,0.5252525252525253,Implement / Accept
0.4,0.5353535353535354,Implement / Accept
0.4,0.5454545454545455,Implement / Accept
0.4,0.5555555555555556,Implement / Accept
0.4,0.5656565656565657,Implement / Accept
0.4,0.5757575757575758,Implement / Accept
0.4,0.5858585858585859,Implement / Accept
0.4,0.595959595959596,Implement / Accept
0.4,0.6060606060606061,Implement / Accept
0.4,0.6161616161616162,Implement / Accept
0.4,0.6262626262626263,Implement / Accept
0.4,0.6363636363636365,Implement / Accept
0.4,0.6464646464646465,Implement / Accept
0.4,0.6565656565656566,Implement / Accept
0.4,0.6666666666666667,Implement / Accept
0.4,0.6767676767676768,Implement / Accept
0.4,0.686868686868687,Implement / Accept
0.4,0.696969696969697,Implement / Accept
0.4,0.7070707070707072,Implement / Accept
0.4,0.7171717171717172,Implement / Accept
0.4,0.7272727272727273,Implement / Accept
0.4,0.7373737373737375,Implement / Accept
0.4,0.7474747474747475,Implement / Accept
0.4,0.7575757575757577,Implement / Accept
0.4,0.7676767676767677,Implement / Accept
0.4,0.7777777777777778,Implement / Accept
0.4,0.787878787878788,Implement / Accept
0.4,0.797979797979798,Implement / Accept
0.4,0.8080808080808082,Implement / Accept
0.4,0.8181818181818182,Implement / Accept
0.4,0.8282828282828284,Implement / Accept
0.4,0.8383838383838385,Implement / Accept
0.4,0.8484848484848485,Implement / Accept
0.4,0.8585858585858587,Implement / Accept
0.4,0.8686868686868687,Implement / Accept
0.4,0.8787878787878789,Implement / Accept
0.4,0.888888888888889,Implement / Accept
0.4,0.8989898989898991,Implement / Accept
0.4,0.9090909090909092,Implement / Accept
0.4,0.9191919191919192,Implement / Accept
0.4,0.9292929292929294,Implement / Accept
0.4,0.9393939393939394,Implement / Accept
0.4,0.9494949494949496,Implement / Accept
0.4,0.9595959595959597,Implement / Accept
0.4,0.9696969696969697,Implement / Accept
0.4,0.9797979797979799,Implement / Accept
0.4,0.98989898989899,Implement / Accept
0.4,1.0,Implement / Accept
0.4666666666666667,0.0,Absence of Pure Equilibrium
0.4666666666666667,0.010101010101010102,Absence of Pure Equilibrium
0.4666666666666667,0.020202020202020204,Absence of Pure Equilibrium
0.4666666666666667,0.030303030303030304,Implement / Fight
0.4666666666666667,0.04040404040404041,Implement / Fight
0.4666666666666667,0.05050505050505051,Implement / Fight
0.4666666666666667,0.06060606060606061,Implement / Fight
0.4666666666666667,0.07070707070707072,Implement / Fight
0.4666666666666667,0.08080808080808081,Implement / Fight
0.4666666666666667,0.09090909090909091,Implement / Fight
0.4666666666666667,0.10101010101010102,Implement / Fight
0.4666666666666667,0.11111111111111112,Implement / Fight
0.4666666666666667,0.12121212121212122,Implement / Fight
0.4666666666666667,0.13131313131313133,Implement / Fight
0.4666666666666667,0.14141414141414144,Implement / Fight
0.4666666666666667,0.15151515151515152,Implement / Fight
0.4666666666666667,0.16161616161616163,Implement / Fight
0.4666666666666667,0.17171717171717174,Implement / Fight
0.4666666666666667,0.18181818181818182,Implement / Fight
0.4666666666666667,0.19191919191919193,Implement / Fight
0.4666666666666667,0.20202020202020204,Implement / Fight
0.4666666666666667,0.21212121212121213,Implement / Fight
0.4666666666666667,0.22222222222222224,Implement / Fight
0.4666666666666667,0.23232323232323235,Implement / Fight
0.4666666666666667,0.24242424242424243,Implement / Fight
0.4666666666666667,0.25252525252525254,Implement / Fight
0.4666666666666667,0.26262626262626265,Implement / Fight
0.4666666666666667,0.27272727272727276,Implement / Fight
0.4666666666666667,0.2828282828282829,Implement / Fight
0.4666666666666667,0.29292929292929293,Implement / Fight
0.4666666666666667,0.30303030303030304,Implement / Fight
0.4666666666666667,0.31313131313131315,Implement / Fight
0.4666666666666667,0.32323232323232326,Implement / Fight
0.4666666666666667,0.33333333333333337,Implement / Fight
0.4666666666666667,0.3434343434343435,Implement / Fight
0.4666666666666667,0.3535353535353536,Implement / Fight
0.4666666666666667,0.36363636363636365,Implement / Accept
0.4666666666666667,0.37373737373737376,Implement / Accept
0.4666666666666667,0.38383838383838387,Implement / Accept
0.4666666666666667,0.393939393939394,Implement / Accept
0.4666666666666667,0.4040404040404041,Implement / Accept
0.4666666666666667,0.4141414141414142,Implement / Accept
0.4666666666666667,0.42424242424242425,Implement / Accept
0.4666666666666667,0.43434343434343436,Implement / Accept
0.4666666666666667,0.4444444444444445,Implement / Accept
0.4666666666666667,0.4545454545454546,Implement / Accept
0.4666666666666667,0.4646464646464647,Implement / Accept
0.4666666666666667,0.4747474747474748,Implement / Accept
0.4666666666666667,0.48484848484848486,Implement / Accept
0.4666666666666667,0.494949494949495,Implement / Accept
0.4666666666666667,0.5050505050505051,Implement / Accept
0.4666666666666667,0.5151515151515152,Implement / Accept
0.4666666666666667,0.5252525252525253,Implement / Accept
0.4666666666666667,0.5353535353535354,Implement / Accept
0.4666666666666667,0.5454545454545455,Implement / Accept
0.4666666666666667,0.5555555555555556,Implement / Accept
0.4666666666666667,0.5656565656565657,Implement / Accept
0.4666666666666667,0.5757575757575758,Implement / Accept
0.4666666666666667,0.5858585858585859,Implement / Accept
0.4666666666666667,0.595959595959596,Implement / Accept
0.4666666666666667,0.6060606060606061,Implement / Accept
0.4666666666666667,0.6161616161616162,Implement / Accept
0.4666666666666667,0.6262626262626263,Implement / Accept
0.4666666666666667,0.6363636363636365,Implement / Accept
0.4666666666666667,0.6464646464646465,Implement / Accept
0.4666666666666667,0.6565656565656566,Implement / Accept
0.4666666666666667,0.6666666666666667,Implement / Accept
0.4666666666666667,0.6767676767676768,Implement / Accept
0.4666666666666667,0.686868686868687,Implement / Accept
0.4666666666666667,0.696969696969697,Implement / Accept
0.4666666666666667,0.7070707070707072,Implement / Accept
0.4666666666666667,0.7171717171717172,Implement / Accept
0.4666666666666667,0.7272727272727273,Implement / Accept
0.4666666666666667,0.7373737373737375,Implement / Accept
0.4666666666666667,0.7474747474747475,Implement / Accept
0.4666666666666667,0.7575757575757577,Implement / Accept
0.4666666666666667,0.7676767676767677,Implement / Accept
0.4666666666666667,0.7777777777777778,Implement / Accept
0.4666666666666667,0.787878787878788,Implement / Accept
0.4666666666666667,0.797979797979798,Implement / Accept
0.4666666666666667,0.8080808080808082,Implement / Accept
0.4666666666666667,0.8181818181818182,Implement / Accept
0.4666666666666667,0.8282828282828284,Implement / Accept
0.4666666666666667,0.8383838383838385,Implement / Accept
0.4666666666666667,0.8484848484848485,Implement / Accept
0.4666666666666667,0.8585858585858587,Implement / Accept
0.4666666666666667,0.8686868686868687,Implement / Accept
0.4666666666666667,0.8787878787878789,Implement / Accept
0.4666666666666667,0.888888888888889,Implement / Accept
0.4666666666666667,0.8989898989898991,Implement / Accept
0.4666666666666667,0.9090909090909092,Implement / Accept
0.4666666666666667,0.9191919191919192,Implement / Accept
0.4666666666666667,0.9292929292929294,Implement / Accept
0.4666666666666667,0.9393939393939394,Implement / Accept
0.4666666666666667,0.9494949494949496,Implement / Accept
0.4666666666666667,0.9595959595959597,Implement / Accept
0.4666666666666667,0.9696969696969697,Implement / Accept
0.4666666666666667,0.9797979797979799,Implement / Accept
0.4666666666666667,0.98989898989899,Implement / Accept
0.4666666666666667,1.0,Implement / Accept
0.5333333333333333,0.0,Absence of Pure Equilibrium
0.5333333333333333,0.010101010101010102,Absence of Pure Equilibrium
0.5333333333333333,0.020202020202020204,Absence of Pure Equilibrium
0.5333333333333333,0.030303030303030304,Implement / Fight
0.5333333333333333,0.04040404040404041,Implement / Fight
0.5333333333333333,0.05050505050505051,Implement / Fight
0.5333333333333333,0.06060606060606061,Implement / Fight
0.5333333333333333,0.07070707070707072,Implement / Fight
0.5333333333333333,0.08080808080808081,Implement / Fight
0.5333333333333333,0.09090909090909091,Implement / Fight
0.5333333333333333,0.10101010101010102,Implement / Fight
0.5333333333333333,0.11111111111111112,Implement / Fight
0.5333333333333333,0.12121212121212122,Implement / Fight
0.5333333333333333,0.13131313131313133,Implement / Fight
0.5333333333333333,0.14141414141414144,Implement / Fight
0.5333333333333333,0.15151515151515152,Implement / Fight
0.5333333333333333,0.16161616161616163,Implement / Fight
0.5333333333333333,0.17171717171717174,Implement / Fight
0.5333333333333333,0.18181818181818182,Implement / Fight
0.5333333333333333,0.19191919191919193,Implement / Fight
0.5333333333333333,0.20202020202020204,Implement / Fight
0.5333333333333333,0.21212121212121213,Implement / Fight
0.5333333333333333,0.22222222222222224,Implement / Fight
0.5333333333333333,0.23232323232323235,Implement / Fight
0.5333333333333333,0.24242424242424243,Implement / Fight
0.5333333333333333,0.25252525252525254,Implement / Fight
0.5333333333333333,0.26262626262626265,Implement / Fight
0.5333333333333333,0.27272727272727276,Implement / Fight
0.5333333333333333,0.2828282828282829,Implement / Fight
0.5333333333333333,0.29292929292929293,Implement / Fight
0.5333333333333333,0.30303030303030304,Implement / Fight
0.5333333333333333,0.31313131313131315,Implement / Fight
0.5333333333333333,0.32323232323232326,Implement / Fight
0.5333333333333333,0.33333333333333337,Implement / Fight
0.5333333333333333,0.3434343434343435,Implement / Fight
0.5333333333333333,0.3535353535353536,Implement / Fight
0.5333333333333333,0.36363636363636365,Implement / Accept
0.5333333333333333,0.37373737373737376,Implement / Accept
0.5333333333333333,0.38383838383838387,Implement / Accept
0.5333333333333333,0.393939393939394,Implement / Accept
0.5333333333333333,0.4040404040404041,Implement / Accept
0.5333333333333333,0.4141414141414142,Implement / Accept
0.5333333333333333,0.42424242424242425,Implement / Accept
0.5333333333333333,0.43434343434343436,Implement / Accept
0.5333333333333333,0.4444444444444445,Implement / Accept
0.5333333333333333,0.4545454545454546,Implement / Accept
0.5333333333333333,0.4646464646464647,Implement / Accept
0.5333333333333333,0.4747474747474748,Implement / Accept
0.5333333333333333,0.48484848484848486,Implement / Accept
0.5333333333333333,0.494949494949495,Implement / Accept
0.5333333333333333,0.5050505050505051,Implement / Accept
0.5333333333333333,0.5151515151515152,Implement / Accept
0.5333333333333333,0.5252525252525253,Implement / Accept
0.5333333333333333,0.5353535353535354,Implement / Accept
0.5333333333333333,0.5454545454545455,Implement / Accept
0.5333333333333333,0.5555555555555556,Implement / Accept
0.5333333333333333,0.5656565656565657,Implement / Accept
0.5333333333333333,0.5757575757575758,Implement / Accept
0.5333333333333333,0.5858585858585859,Implement / Accept
0.5333333333333333,0.595959595959596,Implement / Accept
0.5333333333333333,0.6060606060606061,Implement / Accept
0.5333333333333333,0.6161616161616162,Implement / Accept
0.5333333333333333,0.6262626262626263,Implement / Accept
